Date, flow
2100-04-20T00:00:00.000000000Z,38.210445372
2100-04-21T00:00:00.000000000Z,73.0246416861
2100-04-22T00:00:00.000000000Z,144.098615632
2100-04-23T00:00:00.000000000Z,166.187132839
2100-04-24T00:00:00.000000000Z,125.84152728
2100-04-25T00:00:00.000000000Z,85.016892379
2100-04-26T00:00:00.000000000Z,63.5063710256
2100-04-27T00:00:00.000000000Z,50.7345922136
2100-04-28T00:00:00.000000000Z,42.6779015638
2100-04-29T00:00:00.000000000Z,37.6252435726
2100-04-30T00:00:00.000000000Z,34.3789424127
2100-05-01T00:00:00.000000000Z,31.8180842067
2100-05-02T00:00:00.000000000Z,30.1332578027
2100-05-03T00:00:00.000000000Z,29.1676896239
2100-05-04T00:00:00.000000000Z,34.6602071363
2100-05-05T00:00:00.000000000Z,40.2930364636
2100-05-06T00:00:00.000000000Z,35.9820030784
2100-05-07T00:00:00.000000000Z,30.2672533493
2100-05-08T00:00:00.000000000Z,27.6665107086
2100-05-09T00:00:00.000000000Z,26.1183938701
2100-05-10T00:00:00.000000000Z,24.8071111937
2100-05-11T00:00:00.000000000Z,23.5857887603
2100-05-12T00:00:00.000000000Z,23.1466558816
2100-05-13T00:00:00.000000000Z,31.9652408055
2100-05-14T00:00:00.000000000Z,38.5148958099
2100-05-15T00:00:00.000000000Z,31.4882118742
2100-05-16T00:00:00.000000000Z,25.3832697354
2100-05-17T00:00:00.000000000Z,23.7264922427
2100-05-18T00:00:00.000000000Z,23.2415352483
2100-05-19T00:00:00.000000000Z,26.5938177483
2100-05-20T00:00:00.000000000Z,29.3889198079
2100-05-21T00:00:00.000000000Z,26.7746541525
2100-05-22T00:00:00.000000000Z,24.0147522126
2100-05-23T00:00:00.000000000Z,22.6935425551
2100-05-24T00:00:00.000000000Z,21.8935447558
2100-05-25T00:00:00.000000000Z,21.7091388826
2100-05-26T00:00:00.000000000Z,29.2397134207
2100-05-27T00:00:00.000000000Z,35.2866656643
2100-05-28T00:00:00.000000000Z,39.2732850178
2100-05-29T00:00:00.000000000Z,41.3297982867
2100-05-30T00:00:00.000000000Z,50.9680660464
2100-05-31T00:00:00.000000000Z,60.5949628503
2100-06-01T00:00:00.000000000Z,46.0861750659
2100-06-02T00:00:00.000000000Z,31.66477019
2100-06-03T00:00:00.000000000Z,27.3208038112
2100-06-04T00:00:00.000000000Z,25.6100837511
2100-06-05T00:00:00.000000000Z,24.3109573466
2100-06-06T00:00:00.000000000Z,23.1193595329
2100-06-07T00:00:00.000000000Z,21.9915260155
2100-06-08T00:00:00.000000000Z,21.3321832303
2100-06-09T00:00:00.000000000Z,24.181310397
2100-06-10T00:00:00.000000000Z,27.0406799508
2100-06-11T00:00:00.000000000Z,25.7158488512
2100-06-12T00:00:00.000000000Z,24.1484290982
2100-06-13T00:00:00.000000000Z,23.1885208027
2100-06-14T00:00:00.000000000Z,22.0651149421
2100-06-15T00:00:00.000000000Z,21.7453386698
2100-06-16T00:00:00.000000000Z,22.1439762059
2100-06-17T00:00:00.000000000Z,21.9255259804
2100-06-18T00:00:00.000000000Z,20.9610585198
2100-06-19T00:00:00.000000000Z,19.9285740864
2100-06-20T00:00:00.000000000Z,18.955816881
2100-06-21T00:00:00.000000000Z,18.0319440459
2100-06-22T00:00:00.000000000Z,17.5870885007
2100-06-23T00:00:00.000000000Z,18.0356993806
2100-06-24T00:00:00.000000000Z,18.4450747764
2100-06-25T00:00:00.000000000Z,17.9433616812
2100-06-26T00:00:00.000000000Z,17.0468233073
2100-06-27T00:00:00.000000000Z,16.2129408222
2100-06-28T00:00:00.000000000Z,15.4226794298
