AG1,1922-01-01,1,0.689599991,,,,-
AG2,1922-01-01,1,0.75819999,,,,
AG4,1922-01-01,1,0.769819021,,,,
AG3,1922-01-01,1,0.891592145,,,,
AG5,1922-01-01,1,0.716619968,,,,
AG7,1922-01-01,1,0.698679984,,,,
AG6,1922-01-01,1,0.90179199,,,,
AG8,1922-01-01,1,0.767239988,,,,
AG9,1922-01-01,1,0.768999994,,,,
CVPM11,1922-01-01,1,0.727999985,,,,
CVPM10,1922-01-01,1,0.670000017,,,,
CVPM12,1922-01-01,1,0.819999993,,,,
CVPM14,1922-01-01,1,0.779999971,,,,
CVPM13,1922-01-01,1,0.819999993,,,,
CVPM16,1922-01-01,1,0.819999993,,,,
CVPM17,1922-01-01,1,0.829999983,,,,
CVPM18,1922-01-01,1,0.75,,,,
CVPM15,1922-01-01,1,0.790000021,,,,
CVPM19,1922-01-01,1,0.790000021,,,,
CVPM20,1922-01-01,1,0.829999983,,,,
CVPM21,1922-01-01,1,0.75,,,,
AG2,1922-05-01,1,0.75819999,,,,
AG4,1922-05-01,1,0.769819021,,,,
AG3,1922-05-01,1,0.891592145,,,,
AG5,1922-05-01,1,0.716619968,,,,
AG7,1922-05-01,1,0.698679984,,,,
AG6,1922-05-01,1,0.90179199,,,,
AG8,1922-05-01,1,0.767239988,,,,
AG9,1922-05-01,1,0.768999994,,,,
CVPM10,1922-05-01,1,0.670000017,,,,
CVPM14,1922-05-01,1,0.779999971,,,,
CVPM17,1922-05-01,1,0.829999983,,,,
CVPM18,1922-05-01,1,0.75,,,,
CVPM15,1922-05-01,1,0.790000021,,,,
CVPM19,1922-05-01,1,0.790000021,,,,
CVPM20,1922-05-01,1,0.829999983,,,,
CVPM21,1922-05-01,1,0.75,,,,
AG2,1922-06-01,1,0.75819999,,,,
AG4,1922-06-01,1,0.769819021,,,,
AG3,1922-06-01,1,0.891592145,,,,
AG5,1922-06-01,1,0.716619968,,,,
AG7,1922-06-01,1,0.698679984,,,,
AG6,1922-06-01,1,0.90179199,,,,
AG8,1922-06-01,1,0.767239988,,,,
AG9,1922-06-01,1,0.768999994,,,,
CVPM11,1922-06-01,1,0.727999985,,,,
CVPM10,1922-06-01,1,0.670000017,,,,
CVPM12,1922-06-01,1,0.819999993,,,,
CVPM14,1922-06-01,1,0.779999971,,,,
