Name,X,Y,Type,max_storage,min_storage,initialHead,elev,area,storCoeff,unitCost,linCoeff,Consumption,S_var,delivery_var,infeasQ_var,agBenefitsMon_var,urbBenefitsMon_var,COSBenefitsMon_var,gwPumpUnitCost_var,H_var,BC,IC,outflow,quadCoeff,Description
OakFlat,1942,1867,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
OLDR,1472,1397,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
outflow2,1968,1893,outflow,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,TS/outflow.csv,,
Pixley,1848,1773,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
PMPCC,1466,1391,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
Redding,1488,1413,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
SAC,1500,1425,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
SER,1394,1319,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
SFPUC,1944,1869,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
SR10,1580,1505,surface_reservoir,TS/max_stor.csv,80,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR12,1592,1517,surface_reservoir,TS/max_stor.csv,80,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR15,1590,1515,surface_reservoir,TS/max_stor.csv,9.8,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR18,1612,1537,surface_reservoir,TS/max_stor.csv,120,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR20,1598,1523,surface_reservoir,TS/max_stor.csv,115,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR3,1554,1479,surface_reservoir,TS/max_stor.csv,10,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR4,1552,1477,surface_reservoir,TS/max_stor.csv,116,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR52,1602,1527,surface_reservoir,TS/max_stor.csv,4,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR53,1600,1525,surface_reservoir,TS/max_stor.csv,10,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR6,1558,1483,surface_reservoir,TS/max_stor.csv,29.6,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR8,1564,1489,surface_reservoir,TS/max_stor.csv,83,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SR81,1586,1511,surface_reservoir,TS/max_stor.csv,100,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRASF,1596,1521,surface_reservoir,TS/max_stor.csv,31,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRBBL,1556,1481,surface_reservoir,TS/max_stor.csv,10,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRBLV,1972,1897,outflow,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,TS/outflow.csv,,
SRCFW,1562,1487,surface_reservoir,TS/max_stor.csv,1,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRCLI,1566,1491,surface_reservoir,TS/max_stor.csv,0,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SREB,1576,1501,surface_reservoir,TS/max_stor.csv,83,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRHHR,1588,1513,surface_reservoir,TS/max_stor.csv,36,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRLB,1568,1493,surface_reservoir,TS/max_stor.csv,10.3,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRLI,1608,1533,surface_reservoir,TS/max_stor.csv,0.184,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRLK,1604,1529,surface_reservoir,TS/max_stor.csv,0.57,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRLL,1584,1509,surface_reservoir,TS/max_stor.csv,30.1,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRLS,1606,1531,surface_reservoir,TS/max_stor.csv,0.557,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRLV,1574,1499,surface_reservoir,TS/max_stor.csv,72,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRNBB,1560,1485,surface_reservoir,TS/max_stor.csv,251,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRNHL,1572,1497,surface_reservoir,TS/max_stor.csv,17.5,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRPF,1610,1535,surface_reservoir,TS/max_stor.csv,45.38,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
