Name,From,To,Type,lossCoeff,max_flow,min_flow,ReturnFlowProportion,cost,Q_var,networkCosts_var,Description
C18_D511,C18,D511,DEF_link,1,10000000,0,,,NULL,,
C17_C314,C17,C314,DEF_link,1,10000000,0,,,NULL,,
C17_AG6,C17,AG6,DEF_link,1,1000000,0,,,NULL,,
C17_GW6,C17,GW6,cost_link,1,10000000,0,,5000,NULL,NULL,
D511_D513,D511,D513,DEF_link,1,900,0,,,NULL,,
D511_D507,D511,D507,DEF_link,1,10000000,0,,,NULL,,
D511_NAPA,D511,NAPA,cost_link,1,10000000,0,,75000,NULL,NULL,
D503_D511,D503,D511,DEF_link,1,10000000,181.1,,,NULL,,
C37_D98,C37,D98,DEF_link,1,10000000,0,,,NULL,,
C37_C36,C37,C36,DEF_link,0.92,13.4,0,,,NULL,,
D98_C36,D98,C36,DEF_link,0.92,26.4,0,,,NULL,,
D98_D517,D98,D517,DEF_link,1,1000000,0,,,NULL,,
C36_C37,C36,C37,DEF_link,1,1000000,0,,,NULL,,
C36_AG8,C36,AG8,DEF_link,1,1000000,0,,,NULL,,
C36_GW8,C36,GW8,cost_link,1,10000000,0,,5000,NULL,NULL,
C39_dum6,C39,dum6,DEF_link,1,10000000,0,,,NULL,,
D517_D515,D517,D515,DEF_link,1,10000000,0,,,NULL,,
C42_D521,C42,D521,DEF_link,1,10000000,0,,,NULL,,
D521_D522,D521,D522,DEF_link,1,10000000,0,,,NULL,,
D521_C68,D521,C68,DEF_link,1,33.4,0,,,NULL,,
D513_D521,D513,D521,DEF_link,1,10000000,0,,,NULL,,
D513_D515,D513,D515,DEF_link,1,10000000,0,,,NULL,,
D515_D522,D515,D522,DEF_link,1,10000000,0,,,NULL,,
D515_C68,D515,C68,DEF_link,1,115.9,0,,,NULL,,
D522_D523,D522,D523,DEF_link,1,10000000,0,,,NULL,,
D507_C68,D507,C68,DEF_link,1,10000000,0,,,NULL,,
D507_D509,D507,D509,DEF_link,1,10000000,0,,,NULL,,
D523_C68,D523,C68,DEF_link,0,0,0,,,NULL,,
D523_D525,D523,D525,DEF_link,1,10000000,0,,,NULL,,
C68_D523,C68,D523,DEF_link,1,73.5,0,,,NULL,,
C68_AG9,C68,AG9,DEF_link,1,1000000,0,,,NULL,,
C68_GW9,C68,GW9,cost_link,1,10000000,0,,5000,NULL,NULL,
D509_DELTA,D509,DELTA,DEF_link,1,10000000,0,,,NULL,,
D525_D528,D525,D528,DEF_link,1,10000000,0,,,NULL,,
D525_D550,D525,D550,DEF_link,1,10000000,0,,,NULL,,
D528_D509,D528,D509,DEF_link,1,10000000,0,,,NULL,,
D528_MS,D528,MS,DEF_link,1,10000000,0,,,NULL,,
D550_C309,D550,C309,DEF_link,1,10000000,0,,,NULL,,
