Name ,x,y,Location source,Type,WRSE-Ref,Zone generic,Company,WRZ,Earliest Start Year,Year Activated,Asset life,DO,Demand flow,Demand + THR flow,DI,THR,Loss,Financial_ cost,Financial cost spent,Financial vopex,Financial vopex spent,EnvSoc cost,EnvSoc cost spent,EnvSoc vopex,EnvSoc vopex spent,OneOff cost,OneOff cost spent,Carbon const,Carbon capital cost spent,Carbon fopex,Carbon fopex cost spent,Carbon vopex,Carbon vopex cost spent,OneOff carbon,OneOff carbon cost spent,Ratchet,ExDO VOPEX (p/m3),Percentage of ExDO VOPEX (calc),Percentage of ExDO VOPEX (round upto 5%),Description
ExDO17,629811,159510,Centre of zone,Water resource zone,,WRZ07,SWS,KTH,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.24,0.25,SWS Kent Thanet
ExDO20,459540,114656,Centre of zone,Water resource zone,,WRZ08,SEW,PRT,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.12,0.15,PRTS Company
ExDO27,475522,156499,Centre of zone,Water resource zone,,WRZ11,SEW,RZ4,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,SEW Northern North (RZ 4)
ExDO28,478465,133124,Centre of zone,Water resource zone,,WRZ12,SEW,RZ5,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.3,0.3,SEW Northern South (RZ 5)
ExDO29,542445,124504,Centre of zone,Water resource zone,,WRZ13,SEW,RZ2,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,SEW Mid Sussex (RZ 2)
ExDO30,566080,114989,Centre of zone,Water resource zone,,WRZ14,SEW,RZ3,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,SEW Eastbourne (RZ 3)
ExDO31,556228,146853,Centre of zone,Water resource zone,,WRZ15,SEW,RZ1,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,SEW Medway (RZ 1)
ExDO32a,570118,156001,Centre of zone,Water resource zone,,WRZ16A,SEW,RZ6,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,SEW RZ 6
ExDO32b,577247,138824,Centre of zone,Water resource zone,,WRZ16B,SEW,RZ7,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,SEW RZ 7
ExDO35,601584,148712,Centre of zone,Water resource zone,,WRZ17,SEW,RZ8,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.19,0.2,SEW RZ 8
ExDO38,618717,138632,Centre of zone,Water resource zone,,WRZ18,AFF,VWS,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.14,0.15,Veolia Water Southeast
