Name       ,Capacity constant,Phase condition,Phase lag
25852.phase2,,,
25854.phase1,,,
25854.phase2,,,
25855.phase1,,,
25855.phase2,,,
25856.phase1,,,
25856.phase2,,,
25857.phase1,,,
25857.phase2,,,
25858.phase1,,,
25858.phase2,,,
25859.phase1,,,
25859.phase2,,,
25861.phase1,,,
25861.phase2,,,
25862.phase1,,,
25862.phase2,,,
25863.phase1,,,
25863.phase2,,,
25864.phase1,,,
25864.phase2,,,
25865.phase1,,,
25865.phase2,,,
25877.phase1,,,
25877.phase2,,,
25878.phase1,,,
25878.phase2,,,
25885.phase1,,,
25885.phase2,,,
25886.phase1,,,
25886.phase2,,,
25887.phase1,,,
25887.phase2,,,
25888.phase1,,,
25888.phase2,,,
25889.phase1,,,
25889.phase2,,,
25890.phase1,,,
25890.phase2,,,
25891.phase1,,,
25891.phase2,,,
25892.phase1,,,
25892.phase2,,,
25893.phase1,,,
25893.phase2,,,
25894.phase1,,,
25894.phase2,,,
25895.phase1,,,
25895.phase2,,,
25896.phase1,,,
25896.phase2,,,
25897.phase1,,,
25897.phase2,,,
25898.phase1,,,
25898.phase2,,,
25899.phase1,,,
25899.phase2,,,
25900.phase1,,,
25900.phase2,,,
25901.phase1,,,
25901.phase2,,,
25902.phase1,,,
25902.phase2,,,
25903.phase1,,,
25903.phase2,,,
25907.phase1,,,
25907.phase2,,,
25908.phase1,,,
25908.phase2,,,
