Name ,x,y,Type,WRSE-Ref,Zone generic,Company,WRZ,Earliest Start Year,Year Activated,Asset life,DO,Demand flow,Demand + THR flow,DI,THR,Loss,Financial_ cost,Financial cost spent,Financial vopex,Financial vopex spent,EnvSoc cost,EnvSoc cost spent,EnvSoc vopex,EnvSoc vopex spent,OneOff cost,OneOff cost spent,Carbon const,Carbon capital cost spent,Carbon fopex,Carbon fopex cost spent,Carbon vopex,Carbon vopex cost spent,OneOff carbon,OneOff carbon cost spent,Ratchet,ExDO VOPEX (p/m3),Percentage of ExDO VOPEX (calc),Percentage of ExDO VOPEX (round upto 5%),Description
ExDO29,542445,124504,Water resource zone,,WRZ13,SEW,RZ2,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,9,0.1,0.1,SEW Mid Sussex (RZ 2)
ExDO30,566080,114989,Water resource zone,,WRZ14,SEW,RZ3,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,11,0.1,0.1,SEW Eastbourne (RZ 3)
ExDO31,556228,146853,Water resource zone,,WRZ15,SEW,RZ1,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,8,0.1,0.1,SEW Medway (RZ 1)
ExDO32a,570118,156001,Water resource zone,,WRZ16A,SEW,RZ6,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,9,0.1,0.1,SEW RZ 6
ExDO32b,577247,138824,Water resource zone,,WRZ16B,SEW,RZ7,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,13,0.1,0.1,SEW RZ 7
ExDO35,601584,148712,Water resource zone,,WRZ17,SEW,RZ8,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,7,0.19,0.2,SEW RZ 8
ExDO38,618717,138632,Water resource zone,,WRZ18,AFF,VWS,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,50,0.14,0.15,Veolia Water Southeast
ExDO39a,526009,161377,Water resource zone,,WRZ19A,SES,SUT,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,14.7,0.1,0.1,SES Sutton
ExDO39b,528800,148586,Water resource zone,,WRZ19B,SES,ESU,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,16.2,0.1,0.1,SES East Surrey
ExDO42,530087,185412,Water resource zone,,WRZ22,TWU,LON,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,22.35341715,0.14,0.15,TW London
ExDO43,452978,198176,Water resource zone,,WRZ23,TWU,SWX,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,20.10148203,0.11,0.15,TW SWOX
ExDO47,480757,202534,Water resource zone,,WRZ24,TWU,SWA,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,26.91847281,0.17,0.2,TW SWA
ExDO48,454725,169156,Water resource zone,,WRZ25,TWU,KEN,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,20.54741337,0.2,0.2,TW Kennet Valley
ExDO49,478177,179813,Water resource zone,,WRZ26,TWU,HEN,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,17.44017852,0.44,0.45,TW Henley
ExDO50,502443,142252,Water resource zone,,WRZ27,TWU,GUI,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,22.02161733,0.29,0.3,TW Guildford
ExDO51,499496,199465,Water resource zone,,WRZ31,AFF,VW1,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,18,0.1,0.1,AF1
ExDO52,514990,203196,Water resource zone,,WRZ32,AFF,VW2,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,18,0.18,0.2,AF2
ExDO53,523211,222746,Water resource zone,,WRZ33,AFF,VW3,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,18,0.1,0.1,AF3
ExDO54,513758,186410,Water resource zone,,WRZ34,AFF,VW4,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,18,0.1,0.1,AF4
ExDO55,552507,220191,Water resource zone,,WRZ35,AFF,VW5,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,18,0.1,0.1,AF5
ExDO56,500875,163677,Water resource zone,,WRZ36,AFF,VW6,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,12,0.22,0.25,AF6
ExDO01cj,441723,119799,Water resource zone,,ExD001cj,SWS,TES,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SWS Hants South Testwood (B513)
ExDO08,572829,120923,Water resource zone,,ExDO08j,SWS,DAR,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SWS Darwell exc Bewl transfers
ExDO11,573614,166241,Water resource zone,,ExDO11j,SWS,BEL,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SWS Belmont Junction (Y445)
ExDO13,569576,133044,Water resource zone,,ExDO13j,SWS,BEW,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SWS Bewl 
ExDO39c,528800,148586,Water resource zone,,ExDO39cj,SES,BBE,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SESW Bough Beech 
ExDO36,613552,147998,Water resource zone,,ExDO36j,SEW,KIN,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SEW Kingston 
FS02,579734,162187,Junction,,FS02,SWS,BUR,,NULL,,,NULL,NULL,,,,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,Burham
FS01,536479,173131,Junction,,FS01,TWU,HON,,NULL,,,NULL,NULL,,,,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,Honor Oak
Sop057j,615963,161363,Junction,,Sop057j,TWU,BRO,,NULL,,,NULL,NULL,,,,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SEW Broadoak Junction
UpperThames,477142,187148,Junction,,Thames,TWU,UTR,,NULL,,,NULL,NULL,,,,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,TW River Thames Junction
Sop684_ph2b,463400,102000,Desalination,PRT-DES-PRT-0030,WRZ08,PRT,PRT,2021,NULL,25,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,28.41,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,5070.1,NULL,0,NULL,1.08,NULL,,NULL,1,,,,Portsmouth Harbour Desalination Plant
Sop685_ph2b,470700,105400,Effluent reuse,PRT-EFF-PRT-0060,WRZ08,PRT,PRT,2020,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,13.97,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,4571,NULL,0,NULL,0.8,NULL,,NULL,1,,,,Budds Farm Effluent Reuse
