Name ,Location source,WRSE-Ref,Zone generic,Company,WRZ,Earliest Start Year,Year Activated,End year,Asset life,Zonal cost,Baseline SDB,Opt SDB,New  supply,Net transfer,Demand reduction,DO,Demand flow,Demand + THR flow,DI,THR,Loss,Financial cost,Financial cost spent,Financial vopex,Financial vopex spent,EnvSoc cost,EnvSoc cost spent,EnvSoc vopex,EnvSoc vopex spent,OneOff cost,OneOff cost spent,Carbon const,Carbon capital cost spent,Carbon fopex,Carbon fopex cost spent,Carbon vopex,Carbon vopex cost spent,Transfer type,OneOff carbon,OneOff carbon cost spent,Ratchet,ExDO VOPEX (p/m3),Percentage of ExDO VOPEX (calc),Percentage of ExDO VOPEX (round upto 5%)
ExDO20, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO27, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO28, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO29, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO30, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO31, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO32a, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO32b, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO35, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO38, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO39a, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO39b, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO42, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO43, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO47, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
ExDO48, (Accuracy; < 10m),(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,,(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source;Model results),(Source; WRMP),(Source; GAMS model),(Source; GAMS model),(Source; WRMP),(Source; WRMP),(Source; WRMP),(Description; Potential annuity for financial capex and fopex),(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Description; Realised annuity for environmental and social capex and fopex),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; GAMS model),(Source; Water companies),(Source; Water companies),(Source; Water companies),(Source; Water companies)
