id,Type,Description,Model      , Name,Projection,nodes,links,groups,rules,Carbon shadow price,ExDO cost,Option cost,DM,Source,Transfer,Total,Max utilised
Units,                 ,    ,,,,,,,,1e-2 GBP t^-1,1e3 GBP,1e3 GBP,1e3 GBP,1e3 GBP,1e3 GBP,1e3 GBP,Ml day^-1
,WRSE EBSD,EBSD example dataset,EBSD, EBSD,EPSG:27700,EBSD_nodes.csv,EBSD_links.csv,EBSD_groups.csv,,TS/timeseries_carbon_shadow.csv,178744.8956,803130.4288,276626.1443,437451.8217,89052.46274,981875.3243,arr/Array_network_max_utilised.csv
