,,NYAA,DYAA,DYCP,MDO
Sop776_ph2b,4,5,5,10,5
Sop777_ph2b,4,1.25,1.25,2.5,1.25
Sop778_ph2b,4,2.5,2.5,5,2.5
Sop780_ph2b,4,0.3,0.3,0.5,0.3
Sop782_ph2b,4,0.3,0.3,0.5,0.3
Sop781_ph2b,4,0.2,0.2,0.4,0.2
Sop783_ph2b,4,15.2,15.2,17.1,15.2
Sop784_ph2b,4,26.4,26.4,29.9,26.4
Sop785_ph2b,4,12.3,12.3,13.8,12.3
Sop786_ph2b,4,24.4,24.4,27.6,24.4
Sop787_ph2b,4,15,15,15,15
Sop788_ph2b,4,10,10,10,10
Sop789_ph2b,4,5,5,5,5
Sop790_ph2b,4,5,5,5,5
Sop791_ph2b,4,10,10,10,10
Sop792_ph2b,4,25,25,25,25
Sop1065_ph2b,4,45,45,45,45
Sop1057_ph2b,4,10,10,10,10
Sop793_ph2b,4,10,10,10,10
Sop794_ph2b,4,20,20,20,20
Sop795_ph2b,4,10,10,10,10
Sop796_ph2b,4,20,20,20,20
Sop797_ph2b,4,10,10,10,10
Sop798_ph2b,4,20,20,20,20
Sop799_ph2b,4,30,30,30,30
Sop800_ph2b,4,40,40,40,40
Sop801_ph2b,4,5,5,5,5
Sop802_ph2b,4,5,5,5,5
Sop803_ph2b,4,4.62,4.62,4.62,4.62
Sop804_ph2b,4,2.52,2.52,2.52,2.52
Sop806_ph2b,4,0.9,0.9,0.9,0.9
Sop807_ph2b,4,2.47,2.47,2.47,2.47
Sop812_ph2b,4,19,19,20,19
Sop813_ph2b,4,19,19,20,19
Sop814_ph2b,4,5,5,0,5
Sop1059_ph2b,4,0.5,0.5,3.5,0.5
Sop815_ph2b,4,26,26,30,26
Sop816_ph2b,4,12,12,15,12
Sop817_ph2b,4,5,5,10,5
Sop818_ph2b,4,2.5,2.5,5,2.5
Sop819_ph2b,4,10,10,10,10
Sop820_ph2b,4,20,20,20,20
Sop821_ph2b,4,10,10,10,10
Sop809_ph2b,4,2,2,2,2
Sop808_ph2b,4,2,2,2,2
Sop2001_ph2b,4,40,40,40,40
Sop3002_ph2b,4,4.7,4.7,4.7,4.7
Sop3003_ph2b,4,15,15,15,15
Sop3004_ph2b,4,0.5,0.5,0.5,0.5
Sop3005_ph2b,4,10,10,10,10
Sop3006_ph2b,4,4,4,3,4
Sop3007_ph2b,4,20,20,24,20
Sop865_ph2b,4,51,51,51,51
Sop1121_ph2b,4,71,71,71,71
Sop3008_ph2b,4,2,2,2,2
Sop1110_ph2b,4,43,43,43,43
Sop1122_ph2b,4,45,45,45,45
Sop3009_ph2b,4,2,2,2,2
Sop1111_ph2b,4,21,21,21,21
Sop3010_ph2b,4,23,23,23,23
Sop3011_ph2b,4,2,2,2,2
Sop1109_ph2b,4,7,7,7,7
Sop1124_ph2b,4,9,9,9,9
Sop3012_ph2b,4,2,2,2,2
Sop868_ph2b,4,21,21,21,21
Sop1123_ph2b,4,23,23,23,23
Sop900_ph2b,4,17,17,20.2,17
Sop3013_ph2b,4,17,17,17,17
Sop3014_ph2b,4,20,20,24,20
Sop1107_ph2b,4,187,187,187,187
Sop1118_ph2b,4,207,207,207,207
Sop3015_ph2b,4,20,20,24,20
Sop1106_ph2b,4,187,187,187,187
Sop1117_ph2b,4,207,207,207,207
Sop3016_ph2b,4,336,336,336,336
Sop1119_ph2b,4,20,20,24,20
Sop1108_ph2b,4,78,78,78,78
Sop3017_ph2b,4,98,98,98,98
Sop1116_ph2b,4,20,20,24,20
Sop1105_ph2b,4,78,78,78,78
Sop3018_ph2b,4,98,98,98,98
Sop3019_ph2b,4,20,20,24,20
Sop1094_ph2b,4,83,83,83,83
Sop3020_ph2b,4,20,20,24,20
Sop1093_ph2b,4,54,54,54,54
Sop3021_ph2b,4,20,20,24,20
Sop1091_ph2b,4,135,135,135,135
Sop3022_ph2b,4,20,20,24,20
Sop1092_ph2b,4,190,190,190,190
Sop905_ph2b,4,151,151,151,151
Sop3023_ph2b,4,20,20,24,20
Sop1096_ph2b,4,131,131,131,131
Sop3024_ph2b,4,20,20,24,20
Sop1166_ph2b,4,83,83,83,83
Sop3025_ph2b,4,20,20,24,20
Sop1169_ph2b,4,274,274,274,274
Sop3026_ph2b,4,20,20,24,20
Sop3027_ph2b,4,232,232,232,232
Sop3028_ph2b,4,20,20,24,20
Sop1165_ph2b,4,190,190,190,190
Sop3029_ph2b,4,20,20,24,20
Sop3030_ph2b,4,54,54,54,54
Sop1100_ph2b,4,101,101,101,101
Sop1099_ph2b,4,63,63,63,63
Sop1098_ph2b,4,151,151,151,151
Sop1097_ph2b,4,201,201,201,201
Sop906_ph2b,4,151,151,151,151
Sop903_ph2b,4,151,151,151,151
Sop1168_ph2b,4,151,151,151,151
Sop915_ph2b,4,101,101,101,101
Sop1095_ph2b,4,63,63,63,63
Sop908_ph2b,4,283,283,283,283
Sop1102_ph2b,4,252,252,242,252
Sop910_ph2b,4,201,201,201,201
Sop3031_ph2b,4,55,55,69,55
Sop892_ph2b,4,55,55,69,55
Sop1104_ph2b,4,1,1,1,1
Sop1103_ph2b,4,4,4,4,4
Sop880_ph2b,4,5.2,5.2,5.2,5.2
Sop1072_ph2b,4,35,35,35,35
Sop1074_ph2b,4,35,35,35,35
Sop857_ph2b,4,15,15,15,15
Sop1073_ph2b,4,15,15,15,15
Sop848_ph2b,4,60,60,60,60
Sop1068_ph2b,4,60,60,60,60
Sop847_ph2b,4,25,25,25,25
Sop1067_ph2b,4,25,25,25,25
Sop1900_ph2b,4,50,50,50,50
Sop1069_ph2b,4,50,50,50,50
Sop851_ph2b,4,150,150,150,150
Sop1071_ph2b,4,150,150,150,150
Sop849_ph2b,4,100,100,100,100
Sop1070_ph2b,4,100,100,100,100
Sop1075_ph2b,4,50,50,50,50
Sop1078_ph2b,4,50,50,50,50
Sop1077_ph2b,4,150,150,150,150
Sop1080_ph2b,4,150,150,150,150
Sop1076_ph2b,4,100,100,100,100
Sop1079_ph2b,4,100,100,100,100
Sop1082_ph2b,4,3,3,3.5,3
Sop1087_ph2b,4,1.4,1.4,1.4,1.4
Sop877_ph2b,4,5.1,5.1,5.1,5.1
Sop1086_ph2b,4,9,9,9,9
Sop886_ph2b,4,2,2,10,2
Sop1089_ph2b,4,5,5,3.5,5
Sop1081_ph2b,4,0,0,8.5,0
Sop825_ph2b,4,3.3,3.3,3.14,3.3
Sop1085_ph2b,4,10,10,15,10
Sop829_ph2b,4,2.2,2.2,1.3,2.2
Sop823_ph2b,4,1.55,1.55,0.18,1.55
Sop888_ph2b,4,2,2,10,2
Sop887_ph2b,4,5,5,3.5,5
Sop1084_ph2b,4,4.5,4.5,4.5,4.5
Sop830_ph2b,4,4.5,4.5,1.2,4.5
Sop1088_ph2b,4,10,10,0,10
