,,NYAA,DYAA,DYCP,MDO
WEF461_ph2b,4,0.023,0.023,0.023,0.023
WEF1362_ph2b,4,0.006,0.006,0.006,0.006
WEF466_ph2b,4,0.01,0.01,0.01,0.01
WEF1363_ph2b,4,0.008,0.008,0.008,0.008
WEF1364_ph2b,4,0.008,0.008,0.008,0.008
WEF1366_ph2b,4,0.017,0.017,0.017,0.017
WEF1367_ph2b,4,0.014,0.014,0.014,0.014
WEF1368_ph2b,4,0.005,0.005,0.005,0.005
WEF1369_ph2b,4,0.013,0.013,0.013,0.013
WEF470_ph2b,4,0.005,0.005,0.005,0.005
WEF1370_ph2b,4,0.001,0.001,0.001,0.001
WEF476_ph2b,4,0.002,0.002,0.002,0.002
WEF1371_ph2b,4,0.002,0.002,0.002,0.002
WEF1372_ph2b,4,0.001,0.001,0.001,0.001
WEF1374_ph2b,4,0.003,0.003,0.003,0.003
WEF1375_ph2b,4,0.004,0.004,0.004,0.004
WEF1376_ph2b,4,0.002,0.002,0.002,0.002
WEF1377_ph2b,4,0.003,0.003,0.003,0.003
WEF479_ph2b,4,0.009,0.009,0.009,0.009
WEF1378_ph2b,4,0.002,0.002,0.002,0.002
WEF484_ph2b,4,0.004,0.004,0.004,0.004
WEF1379_ph2b,4,0.002,0.002,0.002,0.002
WEF1380_ph2b,4,0.003,0.003,0.003,0.003
WEF1382_ph2b,4,0.007,0.007,0.007,0.007
WEF1383_ph2b,4,0.006,0.006,0.006,0.006
WEF1384_ph2b,4,0.002,0.002,0.002,0.002
WEF1385_ph2b,4,0.005,0.005,0.005,0.005
WEF488_ph2b,4,0.003,0.003,0.003,0.003
WEF1386_ph2b,4,0.001,0.001,0.001,0.001
WEF493_ph2b,4,0.001,0.001,0.001,0.001
WEF1387_ph2b,4,0.002,0.002,0.002,0.002
WEF1388_ph2b,4,0.001,0.001,0.001,0.001
WEF1390_ph2b,4,0.002,0.002,0.002,0.002
WEF1391_ph2b,4,0.003,0.003,0.003,0.003
WEF1392_ph2b,4,0.001,0.001,0.001,0.001
WEF1393_ph2b,4,0.002,0.002,0.002,0.002
WEF497_ph2b,4,0.012,0.012,0.012,0.012
WEF1394_ph2b,4,0.003,0.003,0.003,0.003
WEF503_ph2b,4,0.005,0.005,0.005,0.005
WEF1395_ph2b,4,0.002,0.002,0.002,0.002
WEF1396_ph2b,4,0.004,0.004,0.004,0.004
WEF1398_ph2b,4,0.008,0.008,0.008,0.008
WEF1399_ph2b,4,0.008,0.008,0.008,0.008
WEF1400_ph2b,4,0.004,0.004,0.004,0.004
WEF1401_ph2b,4,0.007,0.007,0.007,0.007
LEA1071_ph2b,4,0.079,0.079,0.079,0.079
LEA1072_ph2b,4,0.04,0.04,0.04,0.04
LEA1073_ph2b,4,0.02,0.02,0.02,0.02
LEA1074_ph2b,4,0.02,0.02,0.02,0.02
LEA1075_ph2b,4,0.02,0.02,0.02,0.02
LEA1076_ph2b,4,0.06,0.06,0.06,0.06
LEA1077_ph2b,4,0.181,0.181,0.181,0.181
LEA1078_ph2b,4,0.09,0.09,0.09,0.09
LEA1079_ph2b,4,0.045,0.045,0.045,0.045
LEA1080_ph2b,4,0.045,0.045,0.045,0.045
LEA1081_ph2b,4,0.045,0.045,0.045,0.045
LEA1082_ph2b,4,0.136,0.136,0.136,0.136
LEA1083_ph2b,4,0.131,0.131,0.131,0.131
LEA1084_ph2b,4,0.066,0.066,0.066,0.066
LEA1085_ph2b,4,0.033,0.033,0.033,0.033
LEA1086_ph2b,4,0.033,0.033,0.033,0.033
LEA1087_ph2b,4,0.033,0.033,0.033,0.033
LEA1088_ph2b,4,0.098,0.098,0.098,0.098
LEA1089_ph2b,4,0.715,0.715,0.715,0.715
LEA1090_ph2b,4,0.357,0.357,0.357,0.357
LEA1091_ph2b,4,0.179,0.179,0.179,0.179
LEA1092_ph2b,4,0.179,0.179,0.179,0.179
LEA1093_ph2b,4,0.179,0.179,0.179,0.179
LEA1094_ph2b,4,0.536,0.536,0.536,0.536
LEA1095_ph2b,4,0.17,0.17,0.17,0.17
LEA1096_ph2b,4,0.085,0.085,0.085,0.085
LEA1097_ph2b,4,0.042,0.042,0.042,0.042
LEA1098_ph2b,4,0.042,0.042,0.042,0.042
LEA1099_ph2b,4,0.042,0.042,0.042,0.042
LEA1100_ph2b,4,0.127,0.127,0.127,0.127
LEA1101_ph2b,4,0.324,0.324,0.324,0.324
LEA1102_ph2b,4,0.162,0.162,0.162,0.162
LEA1103_ph2b,4,0.081,0.081,0.081,0.081
LEA1104_ph2b,4,0.081,0.081,0.081,0.081
LEA1105_ph2b,4,0.081,0.081,0.081,0.081
LEA1106_ph2b,4,0.243,0.243,0.243,0.243
LEA1107_ph2b,4,0.068,0.068,0.068,0.068
LEA1108_ph2b,4,0.034,0.034,0.034,0.034
LEA1109_ph2b,4,0.017,0.017,0.017,0.017
LEA1110_ph2b,4,0.017,0.017,0.017,0.017
LEA1111_ph2b,4,0.017,0.017,0.017,0.017
LEA1112_ph2b,4,0.051,0.051,0.051,0.051
LEA1113_ph2b,4,0.331,0.331,0.331,0.331
LEA1114_ph2b,4,0.166,0.166,0.166,0.166
LEA1115_ph2b,4,0.083,0.083,0.083,0.083
LEA1116_ph2b,4,0.083,0.083,0.083,0.083
LEA1117_ph2b,4,0.083,0.083,0.083,0.083
LEA1118_ph2b,4,0.248,0.248,0.248,0.248
LEA1145_ph2b,4,0.1,0.1,0.1,0.1
LEA1146_ph2b,4,0.1,0.1,0.1,0.1
LEA1147_ph2b,4,0.1,0.1,0.1,0.1
LEA1148_ph2b,4,0.1,0.1,0.1,0.1
LEA1149_ph2b,4,0.1,0.1,0.1,0.1
LEA1150_ph2b,4,0.1,0.1,0.1,0.1
LEA053_ph2b,4,0.1,0.1,0.1,0.1
LEA049_ph2b,4,0.1,0.1,0.1,0.1
LEA050_ph2b,4,0.1,0.1,0.1,0.1
LEA051_ph2b,4,0.1,0.1,0.1,0.1
LEA052_ph2b,4,0.1,0.1,0.1,0.1
WEF1414_ph2b,4,0.181852425,0.181852425,0.181852425,0.181852425
WEF1413_ph2b,4,0.278582439,0.278582439,0.278582439,0.278582439
WEF1412_ph2b,4,0.464304065,0.464304065,0.464304065,0.464304065
WEF1411_ph2b,4,0.100115564,0.100115564,0.100115564,0.100115564
LEA054_ph2b,4,0.25,0.25,0.25,0.25
LEA055_ph2b,4,0.25,0.25,0.25,0.25
LEA056_ph2b,4,0.25,0.25,0.25,0.25
LEA057_ph2b,4,0.25,0.25,0.25,0.25
LEA058_ph2b,4,0.25,0.25,0.25,0.25
LEA059_ph2b,4,0.25,0.25,0.25,0.25
LEA1151_ph2b,4,0.25,0.25,0.25,0.25
WEF1410_ph2b,4,0.11885777,0.11885777,0.11885777,0.11885777
LEA109_ph2b,4,0.1,0.1,0.1,0.1
LEA110_ph2b,4,0.1,0.1,0.1,0.1
LEA111_ph2b,4,0.1,0.1,0.1,0.1
LEA112_ph2b,4,0.1,0.1,0.1,0.1
LEA113_ph2b,4,0.1,0.1,0.1,0.1
WEF1409_ph2b,4,0.135420352,0.135420352,0.135420352,0.135420352
WEF1408_ph2b,4,0.207452454,0.207452454,0.207452454,0.207452454
WEF1407_ph2b,4,0.34575409,0.34575409,0.34575409,0.34575409
LEA138_ph2b,4,0.25,0.25,0.25,0.25
LEA139_ph2b,4,0.25,0.25,0.25,0.25
LEA140_ph2b,4,0.25,0.25,0.25,0.25
LEA141_ph2b,4,0.25,0.25,0.25,0.25
LEA142_ph2b,4,0.25,0.25,0.25,0.25
WEF1406_ph2b,4,0.15640134,0.15640134,0.15640134,0.15640134
LEA190_ph2b,4,0.75,0.75,0.75,0.75
LEA191_ph2b,4,0.75,0.75,0.75,0.75
LEA192_ph2b,4,0.75,0.75,0.75,0.75
LEA193_ph2b,4,0.75,0.75,0.75,0.75
LEA194_ph2b,4,0.75,0.75,0.75,0.75
WEF573_ph2b,4,0.10808883,0.10808883,0.10808883,0.10808883
WEF568_ph2b,4,0.165582888,0.165582888,0.165582888,0.165582888
WEF570_ph2b,4,0.27597148,0.27597148,0.27597148,0.27597148
LEA1152_ph2b,4,0.25,0.25,0.25,0.25
LEA1153_ph2b,4,0.25,0.25,0.25,0.25
LEA1154_ph2b,4,0.25,0.25,0.25,0.25
LEA1155_ph2b,4,0.25,0.25,0.25,0.25
LEA1156_ph2b,4,0.25,0.25,0.25,0.25
LEA1157_ph2b,4,0.25,0.25,0.25,0.25
LEA1158_ph2b,4,0.1,0.1,0.1,0.1
LEA1159_ph2b,4,0.1,0.1,0.1,0.1
LEA1160_ph2b,4,0.1,0.1,0.1,0.1
LEA1161_ph2b,4,0.1,0.1,0.1,0.1
LEA1162_ph2b,4,0.1,0.1,0.1,0.1
WEF589_ph2b,4,0.113634187,0.113634187,0.113634187,0.113634187
WEF590_ph2b,4,0.189390312,0.189390312,0.189390312,0.189390312
LEA1163_ph2b,4,0.25,0.25,0.25,0.25
LEA1164_ph2b,4,0.25,0.25,0.25,0.25
LEA1165_ph2b,4,0.25,0.25,0.25,0.25
LEA1186_ph2b,4,0.25,0.25,0.25,0.25
WEF1405_ph2b,4,0.147189566,0.147189566,0.147189566,0.147189566
LEA278_ph2b,4,0.25,0.25,0.25,0.25
LEA279_ph2b,4,0.25,0.25,0.25,0.25
LEA280_ph2b,4,0.25,0.25,0.25,0.25
LEA281_ph2b,4,0.25,0.25,0.25,0.25
LEA282_ph2b,4,0.25,0.25,0.25,0.25
LEA3010_ph2b,4,209.4420907,211.2138751,209.4420907,211.2138751
LEA3011_ph2b,4,234.05155,211.2173577,234.05155,211.2173577
LEA3012_ph2b,4,228.191335,205.3717709,228.191335,205.3717709
LEA3013_ph2b,4,221.6588163,198.858214,221.6588163,198.858214
LEA3014_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3015_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3016_ph2b,4,197.4530699,174.6524676,197.4530699,174.6524676
LEA3017_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3018_ph2b,4,179.5500508,156.7304867,179.5500508,156.7304867
LEA3019_ph2b,4,172.0293209,149.2287187,172.0293209,149.2287187
LEA3020_ph2b,4,152.1042834,129.3230097,152.1042834,129.3230097
LEA3021_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3022_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3023_ph2b,4,196.97243,174.1718277,196.97243,174.1718277
LEA3024_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3025_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3026_ph2b,4,171.4952872,148.6946849,171.4952872,148.6946849
LEA3027_ph2b,4,160.6702963,137.8361041,160.6702963,137.8361041
LEA3028_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3029_ph2b,4,147.7110632,124.9104609,147.7110632,124.9104609
LEA3030_ph2b,4,127.1504726,104.3691989,127.1504726,104.3691989
LEA3031_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3032_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3033_ph2b,4,173.6748702,150.874268,173.6748702,150.874268
LEA3034_ph2b,4,164.53855,141.7043577,164.53855,141.7043577
LEA3035_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3036_ph2b,4,149.2616996,126.4610974,149.2616996,126.4610974
LEA3037_ph2b,4,141.36755,118.5333577,141.36755,118.5333577
LEA3038_ph2b,4,131.6569339,108.8373699,131.6569339,108.8373699
LEA3039_ph2b,4,124.9744711,102.1738688,124.9744711,102.1738688
LEA3040_ph2b,4,103.3270475,80.54577388,103.3270475,80.54577388
LEA3041_ph2b,4,164.53855,141.7043577,164.53855,141.7043577
LEA3042_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3043_ph2b,4,150.0881913,127.287589,150.0881913,127.287589
LEA3044_ph2b,4,141.36755,118.5333577,141.36755,118.5333577
LEA3045_ph2b,4,134.2880017,111.4684376,134.2880017,111.4684376
LEA3046_ph2b,4,126.2313163,103.430714,126.2313163,103.430714
LEA3047_ph2b,4,118.19655,95.36235772,118.19655,95.36235772
LEA3048_ph2b,4,110.8121683,87.99260428,110.8121683,87.99260428
LEA3049_ph2b,4,102.3744413,79.57383897,102.3744413,79.57383897
LEA3050_ph2b,4,79.00438213,56.17018985,79.00438213,56.17018985
LEA3051_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3052_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3053_ph2b,4,197.8019413,175.001339,197.8019413,175.001339
LEA3054_ph2b,4,188.3249638,165.4907716,188.3249638,165.4907716
LEA3055_ph2b,4,181.6985974,158.8790333,181.6985974,158.8790333
LEA3056_ph2b,4,173.9450663,151.144464,173.9450663,151.144464
LEA3057_ph2b,4,164.53855,141.7043577,164.53855,141.7043577
LEA3058_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3059_ph2b,4,149.7902956,126.9896933,149.7902956,126.9896933
LEA3060_ph2b,4,128.617531,105.8362574,128.617531,105.8362574
LEA3061_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3062_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3063_ph2b,4,173.9450663,151.144464,173.9450663,151.144464
LEA3064_ph2b,4,164.53855,141.7043577,164.53855,141.7043577
LEA3065_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3066_ph2b,4,151.5140226,128.7134203,151.5140226,128.7134203
LEA3067_ph2b,4,139.7903623,116.95617,139.7903623,116.95617
LEA3068_ph2b,4,133.6941792,110.8746151,133.6941792,110.8746151
LEA3069_ph2b,4,126.2313163,103.430714,126.2313163,103.430714
LEA3070_ph2b,4,103.3270475,80.54577388,103.3270475,80.54577388
LEA3071_ph2b,4,164.53855,141.7043577,164.53855,141.7043577
LEA3072_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3073_ph2b,4,154.5276381,131.7270358,154.5276381,131.7270358
LEA3074_ph2b,4,141.36755,118.5333577,141.36755,118.5333577
LEA3075_ph2b,4,134.2880017,111.4684376,134.2880017,111.4684376
LEA3076_ph2b,4,131.2719103,108.437718,131.2719103,108.437718
LEA3077_ph2b,4,118.19655,95.36235772,118.19655,95.36235772
LEA3078_ph2b,4,110.8121683,87.99260428,110.8121683,87.99260428
LEA3079_ph2b,4,102.3744413,79.57383897,102.3744413,79.57383897
LEA3080_ph2b,4,79.08913083,56.30785721,79.08913083,56.30785721
LEA3081_ph2b,4,141.36755,118.5333577,141.36755,118.5333577
LEA3082_ph2b,4,134.2880017,111.4684376,134.2880017,111.4684376
LEA3083_ph2b,4,126.2313163,103.430714,126.2313163,103.430714
LEA3084_ph2b,4,118.19655,95.36235772,118.19655,95.36235772
LEA3085_ph2b,4,110.8121683,87.99260428,110.8121683,87.99260428
LEA3086_ph2b,4,102.3744413,79.57383897,102.3744413,79.57383897
LEA3087_ph2b,4,95.02555,72.19135772,95.02555,72.19135772
LEA3088_ph2b,4,87.336335,64.51677095,87.336335,64.51677095
LEA3089_ph2b,4,78.51756625,55.71696397,78.51756625,55.71696397
LEA3090_ph2b,4,55.69693241,32.86274013,55.69693241,32.86274013
LEA3091_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3092_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3093_ph2b,4,173.9450663,151.144464,173.9450663,151.144464
LEA3094_ph2b,4,164.539527,141.7053348,164.539527,141.7053348
LEA3095_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3096_ph2b,4,150.0881913,127.287589,150.0881913,127.287589
LEA3097_ph2b,4,141.36755,118.5333577,141.36755,118.5333577
LEA3098_ph2b,4,134.2880017,111.4684376,134.2880017,111.4684376
LEA3099_ph2b,4,126.2313163,103.430714,126.2313163,103.430714
LEA3100_ph2b,4,103.3270475,80.54577388,103.3270475,80.54577388
LEA3101_ph2b,4,164.53855,141.7043577,164.53855,141.7043577
LEA3102_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3103_ph2b,4,150.0881913,127.287589,150.0881913,127.287589
LEA3104_ph2b,4,141.36755,118.5333577,141.36755,118.5333577
LEA3105_ph2b,4,134.2880017,111.4684376,134.2880017,111.4684376
LEA3106_ph2b,4,126.2313163,103.430714,126.2313163,103.430714
LEA3107_ph2b,4,118.19655,95.36235772,118.19655,95.36235772
LEA3108_ph2b,4,110.8121683,87.99260428,110.8121683,87.99260428
LEA3109_ph2b,4,102.3744413,79.57383897,102.3744413,79.57383897
LEA3110_ph2b,4,79.08913083,56.30785721,79.08913083,56.30785721
LEA3111_ph2b,4,141.36755,118.5333577,141.36755,118.5333577
LEA3112_ph2b,4,134.2880017,111.4684376,134.2880017,111.4684376
LEA3113_ph2b,4,126.2313163,103.430714,126.2313163,103.430714
LEA3114_ph2b,4,118.19655,95.36235772,118.19655,95.36235772
LEA3115_ph2b,4,110.8121683,87.99260428,110.8121683,87.99260428
LEA3116_ph2b,4,102.3744413,79.57383897,102.3744413,79.57383897
LEA3117_ph2b,4,100.1551583,77.32096599,100.1551583,77.32096599
LEA3118_ph2b,4,87.336335,64.51677095,87.336335,64.51677095
LEA3119_ph2b,4,78.51756625,55.71696397,78.51756625,55.71696397
LEA3120_ph2b,4,54.85121417,32.06994054,54.85121417,32.06994054
LEA3121_ph2b,4,118.19655,95.36235772,118.19655,95.36235772
LEA3122_ph2b,4,110.8121683,87.99260428,110.8121683,87.99260428
LEA3123_ph2b,4,102.3744413,79.57383897,102.3744413,79.57383897
LEA3124_ph2b,4,95.02555,72.19135772,95.02555,72.19135772
LEA3125_ph2b,4,87.336335,64.51677095,87.336335,64.51677095
LEA3126_ph2b,4,78.51756625,55.71696397,78.51756625,55.71696397
LEA3127_ph2b,4,71.85455,49.02035772,71.85455,49.02035772
LEA3128_ph2b,4,63.86050167,41.04093761,63.86050167,41.04093761
LEA3129_ph2b,4,54.66069125,31.86008897,54.66069125,31.86008897
LEA3130_ph2b,4,32.00790748,9.173715202,32.00790748,9.173715202
LEA3131_ph2b,4,284.6445361,261.8103438,284.6445361,261.8103438
LEA3132_ph2b,4,275.1430017,252.3234376,275.1430017,252.3234376
LEA3133_ph2b,4,269.3725663,246.571964,269.3725663,246.571964
LEA3134_ph2b,4,257.22255,234.3883577,257.22255,234.3883577
LEA3135_ph2b,4,251.6671683,228.8476043,251.6671683,228.8476043
LEA3136_ph2b,4,245.5156913,222.715089,245.5156913,222.715089
LEA3137_ph2b,4,234.05155,211.2173577,234.05155,211.2173577
LEA3138_ph2b,4,228.191335,205.3717709,228.191335,205.3717709
LEA3139_ph2b,4,221.6588163,198.858214,221.6588163,198.858214
LEA3140_ph2b,4,200.2911602,177.5098866,200.2911602,177.5098866
LEA3141_ph2b,4,257.22255,234.3883577,257.22255,234.3883577
LEA3142_ph2b,4,251.6671683,228.8476043,251.6671683,228.8476043
LEA3143_ph2b,4,245.5156913,222.715089,245.5156913,222.715089
LEA3144_ph2b,4,234.05155,211.2173577,234.05155,211.2173577
LEA3145_ph2b,4,228.191335,205.3717709,228.191335,205.3717709
LEA3146_ph2b,4,221.6588163,198.858214,221.6588163,198.858214
LEA3147_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3148_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3149_ph2b,4,197.8019413,175.001339,197.8019413,175.001339
LEA3150_ph2b,4,176.0407975,153.2595239,176.0407975,153.2595239
LEA3151_ph2b,4,234.05155,211.2173577,234.05155,211.2173577
LEA3152_ph2b,4,228.191335,205.3717709,228.191335,205.3717709
LEA3153_ph2b,4,221.6588163,198.858214,221.6588163,198.858214
LEA3154_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3155_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3156_ph2b,4,197.8019413,175.001339,197.8019413,175.001339
LEA3157_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3158_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3159_ph2b,4,173.9450663,151.144464,173.9450663,151.144464
LEA3160_ph2b,4,151.8028808,129.0216072,151.8028808,129.0216072
LEA3161_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3162_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3163_ph2b,4,197.8019413,175.001339,197.8019413,175.001339
LEA3164_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3165_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3166_ph2b,4,173.9450663,151.144464,173.9450663,151.144464
LEA3167_ph2b,4,164.53855,141.7043577,164.53855,141.7043577
LEA3168_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3169_ph2b,4,150.0881913,127.287589,150.0881913,127.287589
LEA3170_ph2b,4,126.8746378,104.1128979,126.8746378,104.1128979
LEA3171_ph2b,4,257.22255,234.3883577,257.22255,234.3883577
LEA3172_ph2b,4,251.6671683,228.8476043,251.6671683,228.8476043
LEA3173_ph2b,4,245.6602029,222.8596006,245.6602029,222.8596006
LEA3174_ph2b,4,234.05155,211.2173577,234.05155,211.2173577
LEA3175_ph2b,4,228.191335,205.3717709,228.191335,205.3717709
LEA3176_ph2b,4,221.6588163,198.858214,221.6588163,198.858214
LEA3177_ph2b,4,209.6829416,186.8487494,209.6829416,186.8487494
LEA3178_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3179_ph2b,4,195.9520577,173.1514554,195.9520577,173.1514554
LEA3180_ph2b,4,175.4216838,152.6404102,175.4216838,152.6404102
LEA3181_ph2b,4,234.05155,211.2173577,234.05155,211.2173577
LEA3182_ph2b,4,228.191335,205.3717709,228.191335,205.3717709
LEA3183_ph2b,4,221.6588163,198.858214,221.6588163,198.858214
LEA3184_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3185_ph2b,4,202.3986143,179.5790502,202.3986143,179.5790502
LEA3186_ph2b,4,195.2706144,172.4700121,195.2706144,172.4700121
LEA3187_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3188_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3189_ph2b,4,170.9159872,148.1153849,170.9159872,148.1153849
LEA3190_ph2b,4,150.7153341,127.9340605,150.7153341,127.9340605
LEA3191_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3192_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3193_ph2b,4,194.8342946,172.0336923,194.8342946,172.0336923
LEA3194_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3195_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3196_ph2b,4,170.4068309,147.6062286,170.4068309,147.6062286
LEA3197_ph2b,4,159.7114666,136.8772744,159.7114666,136.8772744
LEA3198_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3199_ph2b,4,146.9300028,124.1294005,146.9300028,124.1294005
LEA3200_ph2b,4,128.4133131,105.6320395,128.4133131,105.6320395
LEA3201_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3202_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3203_ph2b,4,173.9450663,151.144464,173.9450663,151.144464
LEA3204_ph2b,4,164.53855,141.7043577,164.53855,141.7043577
LEA3205_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3206_ph2b,4,150.0881913,127.287589,150.0881913,127.287589
LEA3207_ph2b,4,141.36755,118.5333577,141.36755,118.5333577
LEA3208_ph2b,4,134.2880017,111.4684376,134.2880017,111.4684376
LEA3209_ph2b,4,126.2313163,103.430714,126.2313163,103.430714
LEA3210_ph2b,4,102.0306456,79.22246254,102.0306456,79.22246254
LEA3211_ph2b,4,308.6331471,308.6331471,308.6331471,308.6331471
LEA3212_ph2b,4,300.9667934,300.9667934,300.9667934,300.3647471
LEA3213_ph2b,4,291.66791,291.66791,291.66791,291.0963471
LEA3214_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3215_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3216_ph2b,4,269.6189358,269.6189358,269.6189358,269.3108935
LEA3217_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3218_ph2b,4,253.1869531,253.1869531,253.1869531,252.877853
LEA3219_ph2b,4,244.1776747,244.1776747,244.1776747,243.8675428
LEA3220_ph2b,4,222.3644145,222.3644145,222.3644145,222.0527923
LEA3221_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3222_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3223_ph2b,4,269.1409402,269.1409402,269.1409402,268.83319
LEA3224_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3225_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3226_ph2b,4,243.6488876,243.6488876,243.6488876,243.3393603
LEA3227_ph2b,4,235.2518935,235.2518935,235.2518935,235.2518935
LEA3228_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3229_ph2b,4,219.8538549,219.8538549,219.8538549,219.5430184
LEA3230_ph2b,4,197.6282281,197.6282281,197.6282281,197.3168296
LEA3231_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3232_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3233_ph2b,4,245.8328873,245.8328873,245.8328873,245.5238521
LEA3234_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3235_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3236_ph2b,4,221.4101971,221.4101971,221.4101971,221.0999969
LEA3237_ph2b,4,215.9491471,215.9491471,215.9491471,215.9491471
LEA3238_ph2b,4,205.290194,205.290194,205.290194,204.9798525
LEA3239_ph2b,4,197.1198621,197.1198621,197.1198621,196.809237
LEA3240_ph2b,4,103.3270475,103.3270475,103.3270475,100.65975
LEA3241_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3242_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3243_ph2b,4,221.926285,221.926285,221.926285,221.5833471
LEA3244_ph2b,4,215.9491471,215.9491471,215.9491471,215.9491471
LEA3245_ph2b,4,207.97796,207.97796,207.97796,207.6807471
LEA3246_ph2b,4,198.6790767,198.6790767,198.6790767,198.4123471
LEA3247_ph2b,4,118.19655,118.19655,118.19655,118.19655
LEA3248_ph2b,4,110.8121683,110.8121683,110.8121683,109.92815
LEA3249_ph2b,4,102.3744413,102.3744413,102.3744413,100.65975
LEA3250_ph2b,4,79.00438213,79.00438213,79.00438213,79.00438213
LEA3251_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3252_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3253_ph2b,4,268.4207017,268.4207017,268.4207017,267.9253471
LEA3254_ph2b,4,262.906561,262.906561,262.906561,262.906561
LEA3255_ph2b,4,255.3381257,255.3381257,255.3381257,255.029815
LEA3256_ph2b,4,245.1734934,245.1734934,245.1734934,244.7543471
LEA3257_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3258_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3259_ph2b,4,221.9391371,221.9391371,221.9391371,221.6288649
LEA3260_ph2b,4,199.3473533,199.3473533,199.3473533,199.036051
LEA3261_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3262_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3263_ph2b,4,245.1734934,245.1734934,245.1734934,244.7543471
LEA3264_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3265_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
