timeseriesdescription,,,A,B,C,D
ExDO01c,01/04/2016 00:00,4,131.7239714,195.9977303,147.2012007,152.4775838
ExDO01c,01/04/2017 00:00,4,131.4598218,196.0173335,147.2159234,152.4928343
ExDO01c,01/04/2018 00:00,4,131.2417558,196.215691,147.3648969,152.6471477
ExDO01c,01/04/2019 00:00,4,131.3341132,196.5533835,147.6185159,152.9098575
ExDO01c,01/04/2020 00:00,4,131.4745771,196.9883488,147.9451901,153.2482413
ExDO01c,01/04/2021 00:00,4,131.6361268,197.4303985,148.2771851,153.5921365
ExDO01c,01/04/2022 00:00,4,131.8381938,197.8949856,148.6261063,153.9535647
ExDO01c,01/04/2023 00:00,4,132.0779651,198.4260997,149.0249918,154.3667481
ExDO01c,01/04/2024 00:00,4,132.3530628,198.908,149.3869158,154.7416452
ExDO01c,01/04/2025 00:00,4,132.6536762,199.3920767,149.7504745,155.1182356
ExDO01c,01/04/2026 00:00,4,132.9811569,199.9314027,150.1555273,155.5378074
ExDO01c,01/04/2027 00:00,4,133.289782,200.5151558,150.5939465,155.9919415
ExDO01c,01/04/2028 00:00,4,133.5922305,201.1054774,151.0372988,156.4511857
ExDO01c,01/04/2029 00:00,4,133.9015648,201.7141493,151.4944328,156.9247055
ExDO01c,01/04/2030 00:00,4,134.2187836,202.3539405,151.9749386,157.4224349
ExDO01c,01/04/2031 00:00,4,134.5384727,202.9865022,152.4500147,157.9145399
ExDO01c,01/04/2032 00:00,4,134.858784,203.6385124,152.9396973,158.4217751
ExDO01c,01/04/2033 00:00,4,135.1889937,204.3090982,153.4433309,158.9434613
ExDO01c,01/04/2034 00:00,4,135.501257,204.9602657,153.9323806,159.4500409
ExDO01c,01/04/2035 00:00,4,135.7879309,205.6309428,154.4360827,159.971798
ExDO01c,01/04/2036 00:00,4,136.1050475,206.3565413,154.9810328,160.5362817
ExDO01c,01/04/2037 00:00,4,136.4199804,207.0801679,155.5245018,161.0992312
ExDO01c,01/04/2038 00:00,4,136.7423344,207.8264094,156.0849555,161.6797742
ExDO01c,01/04/2039 00:00,4,137.0698432,208.5872419,156.6563675,162.2716683
ExDO02,01/04/2011 12:11,4,36.39623514,46.17997121,34.84548519,36.39623514
ExDO02,01/04/2012 00:00,4,35.75443456,45.36564708,34.23103008,35.75443456
ExDO02,01/04/2013 00:00,4,35.57330592,45.13582893,34.05761887,35.57330592
ExDO02,01/04/2014 00:00,4,35.39394916,44.90825897,33.88590404,35.39394916
ExDO02,01/04/2015 00:00,4,35.29920671,44.78804863,33.79519832,35.29920671
ExDO02,01/04/2016 00:00,4,35.20429561,44.66762432,33.70433114,35.20429561
ExDO02,01/04/2017 00:00,4,35.18332526,44.64101689,33.68425428,35.18332526
ExDO02,01/04/2018 00:00,4,35.19526101,44.6561611,33.69568148,35.19526101
ExDO02,01/04/2019 00:00,4,35.25139436,44.72738376,33.74942313,35.25139436
ExDO02,01/04/2020 00:00,4,35.3119062,44.8041619,33.80735672,35.3119062
ExDO02,01/04/2021 00:00,4,35.39004571,44.90330623,33.88216691,35.39004571
ExDO02,01/04/2022 00:00,4,35.46340544,44.99638591,33.95240096,35.46340544
ExDO02,01/04/2023 00:00,4,35.54319139,45.09761926,34.02878744,35.54319139
ExDO02,01/04/2024 00:00,4,35.63019974,45.20801648,34.11208859,35.63019974
ExDO02,01/04/2025 00:00,4,35.72155254,45.32392599,34.19954908,35.72155254
ExDO02,01/04/2026 00:00,4,35.82053019,45.44950999,34.29430955,35.82053019
ExDO02,01/04/2027 00:00,4,35.90634926,45.55839825,34.37647209,35.90634926
ExDO02,01/04/2028 00:00,4,36.0015699,45.67921532,34.46763563,36.0015699
ExDO02,01/04/2029 00:00,4,36.09074785,45.79236534,34.55301393,36.09074785
ExDO02,01/04/2030 00:00,4,36.19863527,45.92925417,34.65630455,36.19863527
ExDO02,01/04/2031 00:00,4,36.29311469,46.04913077,34.74675844,36.29311469
ExDO02,01/04/2032 00:00,4,36.38349616,46.16380784,34.83328899,36.38349616
ExDO02,01/04/2033 00:00,4,36.46586406,46.26831721,34.91214741,36.46586406
ExDO02,01/04/2034 00:00,4,36.56588742,46.39522801,35.00790902,36.56588742
ExDO02,01/04/2035 00:00,4,36.66786053,46.52461269,35.10553732,36.66786053
ExDO02,01/04/2036 00:00,4,36.76681461,46.6501668,35.20027523,36.76681461
ExDO02,01/04/2037 00:00,4,36.87043248,46.78163837,35.29947821,36.87043248
ExDO02,01/04/2038 00:00,4,36.97801512,46.91814049,35.40247703,36.97801512
ExDO02,01/04/2039 00:00,4,37.08864385,47.05850753,35.50839215,37.08864385
ExDO03,01/04/2011 12:11,4,64.67804674,83.01052667,63.99662707,64.67804674
ExDO03,01/04/2012 00:00,4,63.87169168,81.97561665,63.19876741,63.87169168
ExDO03,01/04/2013 00:00,4,63.03740382,80.9048565,62.37326924,63.03740382
ExDO03,01/04/2014 00:00,4,62.24147028,79.88332191,61.58572131,62.24147028
ExDO03,01/04/2015 00:00,4,61.61650562,79.08121597,60.96734101,61.61650562
ExDO03,01/04/2016 00:00,4,61.62255896,79.08898508,60.97333057,61.62255896
ExDO03,01/04/2017 00:00,4,61.6870501,79.17175572,61.03714226,61.6870501
ExDO03,01/04/2018 00:00,4,61.81834263,79.34026208,61.16705155,61.81834263
ExDO03,01/04/2019 00:00,4,62.0013533,79.57514568,61.3481341,62.0013533
ExDO03,01/04/2020 00:00,4,62.22817606,79.86625954,61.57256715,62.22817606
ExDO03,01/04/2021 00:00,4,62.47799442,80.18688694,61.81975353,62.47799442
ExDO03,01/04/2022 00:00,4,62.72881978,80.50880676,62.06793631,62.72881978
ExDO03,01/04/2023 00:00,4,62.9717852,80.8206388,62.30834195,62.9717852
ExDO03,01/04/2024 00:00,4,63.23591832,81.15963837,62.56969228,63.23591832
ExDO03,01/04/2025 00:00,4,63.49476545,81.49185367,62.82581231,63.49476545
ExDO03,01/04/2026 00:00,4,63.76514894,81.83887522,63.09334716,63.76514894
ExDO03,01/04/2027 00:00,4,64.0337525,82.18361232,63.35912083,64.0337525
ExDO03,01/04/2028 00:00,4,64.29130194,82.51416212,63.61395684,64.29130194
ExDO03,01/04/2029 00:00,4,64.55359917,82.85080542,63.87349062,64.55359917
ExDO03,01/04/2030 00:00,4,64.8219896,83.19526898,64.1390534,64.8219896
ExDO03,01/04/2031 00:00,4,65.07427679,83.51906498,64.3886826,65.07427679
ExDO03,01/04/2032 00:00,4,65.3537099,83.8777012,64.66517174,65.3537099
ExDO03,01/04/2033 00:00,4,65.62438298,84.22509441,64.93299311,65.62438298
ExDO03,01/04/2034 00:00,4,65.89176316,84.56826139,65.1975563,65.89176316
ExDO03,01/04/2035 00:00,4,66.1795849,84.93766392,65.48234567,66.1795849
ExDO03,01/04/2036 00:00,4,66.45180901,85.2870478,65.75170175,66.45180901
ExDO03,01/04/2037 00:00,4,66.72869326,85.64241269,66.02566887,66.72869326
ExDO03,01/04/2038 00:00,4,67.01376649,86.00828767,66.30773869,67.01376649
ExDO03,01/04/2039 00:00,4,67.30300041,86.37950266,66.59392537,67.30300041
ExDO06a,01/04/2011 12:11,4,88.559743,106.2784051,86.59555149,88.559743
ExDO06a,01/04/2012 00:00,4,86.1967515,103.4426362,84.28496944,86.1967515
ExDO06a,01/04/2013 00:00,4,84.65576461,101.5933351,82.77816054,84.65576461
ExDO06a,01/04/2014 00:00,4,83.17137756,99.81195812,81.32669612,83.17137756
ExDO06a,01/04/2015 00:00,4,81.91740477,98.30709571,80.10053555,81.91740477
ExDO06a,01/04/2016 00:00,4,81.77246735,98.13315982,79.95881273,81.77246735
ExDO06a,01/04/2017 00:00,4,81.75516794,98.11239921,79.94189701,81.75516794
ExDO06a,01/04/2018 00:00,4,81.79986409,98.16603799,79.98560184,81.79986409
ExDO06a,01/04/2019 00:00,4,81.94456751,98.33969306,80.12709584,81.94456751
ExDO06a,01/04/2020 00:00,4,82.10579513,98.53317842,80.28474754,82.10579513
ExDO06a,01/04/2021 00:00,4,82.28216538,98.74483609,80.45720603,82.28216538
ExDO06a,01/04/2022 00:00,4,82.45520703,98.95249919,80.62640973,82.45520703
ExDO06a,01/04/2023 00:00,4,82.66240349,99.20115065,80.82901073,82.66240349
ExDO06a,01/04/2024 00:00,4,82.90469002,99.49191285,81.06592352,82.90469002
ExDO06a,01/04/2025 00:00,4,83.1568262,99.79449538,81.3124675,83.1568262
ExDO06a,01/04/2026 00:00,4,83.43140528,100.1240111,81.58095662,83.43140528
ExDO06a,01/04/2027 00:00,4,83.71827597,100.4682777,81.86146472,83.71827597
ExDO06a,01/04/2028 00:00,4,84.0446667,100.8599713,82.18061634,84.0446667
ExDO06a,01/04/2029 00:00,4,84.36018051,101.2386118,82.48913227,84.36018051
ExDO06a,01/04/2030 00:00,4,84.68953572,101.633863,82.81118262,84.68953572
ExDO06a,01/04/2031 00:00,4,85.01709283,102.0269564,83.13147476,85.01709283
ExDO06a,01/04/2032 00:00,4,85.36637537,102.4461219,83.47301045,85.36637537
ExDO06a,01/04/2033 00:00,4,85.72055201,102.8711607,83.81933171,85.72055201
ExDO06a,01/04/2034 00:00,4,86.06674166,103.2866145,84.15784312,86.06674166
ExDO06a,01/04/2035 00:00,4,86.43157798,103.7244458,84.51458764,86.43157798
ExDO06a,01/04/2036 00:00,4,86.81120667,104.180029,84.88579643,86.81120667
ExDO06a,01/04/2037 00:00,4,87.19353764,104.6388551,85.25964758,87.19353764
ExDO06a,01/04/2038 00:00,4,87.58790835,105.1121299,85.64527143,87.58790835
ExDO06a,01/04/2039 00:00,4,87.9863942,105.5903431,86.03491915,87.9863942
ExDO06b,01/04/2011 12:11,4,45.62087558,54.74850912,44.60903731,45.62087558
ExDO06b,01/04/2012 00:00,4,44.78268398,53.74261566,43.7894362,44.78268398
ExDO06b,01/04/2013 00:00,4,44.34013459,53.21152284,43.35670224,44.34013459
ExDO06b,01/04/2014 00:00,4,43.91482748,52.70112207,42.94082814,43.91482748
ExDO06b,01/04/2015 00:00,4,43.61397139,52.34007195,42.64664481,43.61397139
ExDO06b,01/04/2016 00:00,4,43.61455698,52.34077471,42.64721742,43.61455698
ExDO06b,01/04/2017 00:00,4,43.68554464,52.42596528,42.71663063,43.68554464
ExDO06b,01/04/2018 00:00,4,43.78467918,52.54493424,42.81356643,43.78467918
ExDO06b,01/04/2019 00:00,4,43.92819638,52.71716577,42.95390053,43.92819638
ExDO06b,01/04/2020 00:00,4,44.09252672,52.91437462,43.11458613,44.09252672
ExDO06b,01/04/2021 00:00,4,44.26687879,53.12361033,43.2850712,44.26687879
ExDO06b,01/04/2022 00:00,4,44.42797044,53.31693252,43.44258996,44.42797044
ExDO06b,01/04/2023 00:00,4,44.62342695,53.55149514,43.63371137,44.62342695
ExDO06b,01/04/2024 00:00,4,44.80966639,53.77499659,43.81582016,44.80966639
ExDO06b,01/04/2025 00:00,4,45.00667335,54.01141988,44.00845765,45.00667335
ExDO06b,01/04/2026 00:00,4,45.21849922,54.26562698,44.21558537,45.21849922
ExDO06b,01/04/2027 00:00,4,45.42029392,54.50779592,44.41290441,45.42029392
ExDO06b,01/04/2028 00:00,4,45.61991152,54.74735218,44.60809464,45.61991152
ExDO06b,01/04/2029 00:00,4,45.81925647,54.98658123,44.80301826,45.81925647
ExDO06b,01/04/2030 00:00,4,46.01620048,55.22292897,44.99559419,46.01620048
ExDO06b,01/04/2031 00:00,4,46.20504815,55.44956049,45.18025336,46.20504815
ExDO06b,01/04/2032 00:00,4,46.40772354,55.69278633,45.37843356,46.40772354
ExDO06b,01/04/2033 00:00,4,46.60697965,55.93190876,45.57327031,46.60697965
ExDO06b,01/04/2034 00:00,4,46.81739164,56.18441909,45.7790155,46.81739164
ExDO06b,01/04/2035 00:00,4,47.02214977,56.43014437,45.97923225,47.02214977
ExDO06b,01/04/2036 00:00,4,47.24235489,56.69440721,46.19455337,47.24235489
ExDO06b,01/04/2037 00:00,4,47.46252012,56.95862218,46.40983551,47.46252012
ExDO06b,01/04/2038 00:00,4,47.68624441,57.22710829,46.62859775,47.68624441
ExDO06b,01/04/2039 00:00,4,47.91374807,57.50012993,46.85105554,47.91374807
ExDO07,01/04/2011 12:11,4,26.61584783,32.52240201,26.61584783,26.61584783
ExDO07,01/04/2012 00:00,4,25.68570544,31.38584364,25.68570544,25.68570544
ExDO07,01/04/2013 00:00,4,25.24754709,30.85044976,25.24754709,25.24754709
ExDO07,01/04/2014 00:00,4,24.83976307,30.35217084,24.83976307,24.83976307
ExDO07,01/04/2015 00:00,4,24.48947088,29.92414227,24.48947088,24.48947088
ExDO07,01/04/2016 00:00,4,24.43260998,29.85466287,24.43260998,24.43260998
