Lft1009_ph2b, 4,15.0 ,15.0 ,15.0 ,15.0 
Lft1021_ph2b, 4,20.0 ,20.0 ,20.0 ,20.0 
Lft1027_ph2b, 4,15.0 ,15.0 ,0.0 ,15.0 
Lft1028_ph2b, 4,15.0 ,15.0 ,15.0 ,15.0 
Lft1030_ph2b, 4,20.0 ,20.0 ,20.0 ,20.0 
Lft1050_ph2b, 4,10.0 ,10.0 ,10.0 ,10.0 
Lft184_ph2b, 4,40.0 ,40.0 ,40.0 ,40.0 
Lft185_ph2b, 4,20.0 ,20.0 ,20.0 ,20.0 
Lft186_ph2b, 4,30.0 ,30.0 ,30.0 ,30.0 
Lft1011_ph2b, 4,5.0 ,5.0 ,5.0 ,5.0 
Lft1032_ph2b, 4,0.7 ,0.7 ,0.7 ,0.7 
Lft1033_ph2b, 4,1.3 ,1.3 ,1.3 ,1.3 
Lft183_ph2b, 4,2.7 ,2.7 ,2.7 ,2.7 
Lft190c_ph2b, 4,2.0 ,2.0 ,2.0 ,2.0 
Lft1049_ph2b, 4,4,4,4,4
Lft194_ph2b, 4,3,3,3,3
Lft195_ph2b, 4,6,6,6,6
Lft100c_ph2b, 4,2,2,2,2
Lft3000_ph2b, 4,12,12,12,12
Lft005a_ph2b, 4,12.0 ,12.0 ,12.0 ,12.0 
Lft005b_ph2b, 4,12.0 ,12.0 ,12.0 ,12.0 
Lft006a_ph2b, 4,20.0 ,20.0 ,20.0 ,20.0 
Lft006b_ph2b, 4,20.0 ,20.0 ,20.0 ,20.0 
Lft011_ph2b, 4,15.0 ,15.0 ,15.0 ,15.0 
Lft012_ph2b, 4,30.0 ,30.0 ,30.0 ,30.0 
Lft1048_ph2b, 4,5.0 ,5.0 ,5.0 ,5.0 
Lft001a_ph2b, 4,10.0 ,10.0 ,10.0 ,10.0 
Lft001b_ph2b, 4,10.0 ,10.0 ,10.0 ,10.0 
Lft013n_ph2b, 4,20.0 ,20.0 ,20.0 ,20.0 
Lft106n_ph2b, 4,15.0 ,15.0 ,15.0 ,15.0 
Lft108n_ph2b, 4,15.0 ,15.0 ,15.0 ,15.0 
Lft027_ph2b, 4,10.0 ,10.0 ,10.0 ,10.0 
Lft028_ph2b, 4,10.0 ,10.0 ,10.0 ,10.0 
Lft032a_ph2b, 4,10.0 ,10.0 ,10.0 ,10.0 
Lft032b_ph2b, 4,10.0 ,10.0 ,10.0 ,10.0 
Lft033a_ph2b, 4,10.0 ,10.0 ,10.0 ,10.0 
Lft033b_ph2b, 4,10.0 ,10.0 ,10.0 ,10.0 
Lft034a_ph2b, 4,15.0 ,15.0 ,19.5 ,15.0 
Lft034b_ph2b, 4,15.0 ,15.0 ,19.5 ,15.0 
Lft035_ph2b, 4,10.0 ,10.0 ,10.0 ,10.0 
Lft036a_ph2b, 4,4.0 ,4.0 ,5.0 ,4.0 
Lft036b_ph2b, 4,4.0 ,4.0 ,5.0 ,4.0 
