Lft1009_ph2b, 2,0,0
Lft1021_ph2b, 2,0,0
Lft1027_ph2b, 2,0,0
Lft1028_ph2b, 2,0,0
Lft1030_ph2b, 2,0,0
Lft1050_ph2b, 2,0,0
Lft184_ph2b, 2,0,0
Lft185_ph2b, 2,0,0
Lft186_ph2b, 2,0,0
Lft1011_ph2b, 2,0,0
Lft1032_ph2b, 2,0,0
Lft1033_ph2b, 2,0,0
Lft183_ph2b, 2,0,0
Lft190c_ph2b, 2,0,0
Lft1049_ph2b, 2,0,0
Lft194_ph2b, 2,0,0
Lft195_ph2b, 2,0,0
Lft100c_ph2b, 2,0,0
Lft3000_ph2b, 2,0,0
Lft005a_ph2b, 2,0,0
Lft005b_ph2b, 2,0,0
Lft006a_ph2b, 2,0,0
Lft006b_ph2b, 2,0,0
Lft011_ph2b, 2,0,0
Lft012_ph2b, 2,0,0
Lft1048_ph2b, 2,0,0
Lft001a_ph2b, 2,0,0
Lft001b_ph2b, 2,0,0
Lft013n_ph2b, 2,1.27,0
Lft106n_ph2b, 2,0,0
Lft108n_ph2b, 2,0,0
Lft027_ph2b, 2,8.43,155.73
Lft028_ph2b, 2,8.43,155.73
Lft032a_ph2b, 2,0,0
Lft032b_ph2b, 2,0.17,3.3
Lft033a_ph2b, 2,0.31,5.96
Lft033b_ph2b, 2,0,0
Lft034a_ph2b, 2,0,0
Lft034b_ph2b, 2,1.64,28.9
Lft035_ph2b, 2,17.05,297.76
Lft036a_ph2b, 2,0,0
Lft036b_ph2b, 2,0,0
Lft037_ph2b, 2,0,0
Lft038_ph2b, 2,0,0
Lft041_ph2b, 2,8.61,158.64
Lft042_ph2b, 2,8.61,158.64
Lft045a_ph2b, 2,0.49,9.17
Lft045b_ph2b, 2,0,0
Lft051_ph2b, 2,0,0
Lft052_ph2b, 2,0,0
Lft055a_ph2b, 2,1.24,23.01
Lft055b_ph2b, 2,0,0
Lft056a_ph2b, 2,1.24,23.01
Lft056b_ph2b, 2,0,0
Lft057a_ph2b, 2,1.24,23.01
Lft057b_ph2b, 2,0,0
Lft058a_ph2b, 2,6.78,125.74
Lft058b_ph2b, 2,0,0
Lft059a_ph2b, 2,6.78,125.74
Lft059b_ph2b, 2,0,0
Lft060_ph2b, 2,0.16,3.12
Lft001c_ph2b, 2,0,0
Lft001d_ph2b, 2,0.46,8.84
Lft009d_ph2b, 2,0,0
Lft013m_ph2b, 2,3.97,73.94
Lft020_ph2b, 2,0.02,0.41
Lft025_ph2b, 2,1.48,28.03
Lft026_ph2b, 2,1.48,28.03
Lft072_ph2b, 2,1.24,23.02
Lft073_ph2b, 2,2.28,42.25
Lft076_ph2b, 2,0,0
Lft094_ph2b, 2,0,0
Lft095_ph2b, 2,0,0
Lft100a_ph2b, 2,0,0
Lft100b_ph2b, 2,0,0
Lft114m_ph2b, 2,5.7,100.98
Lft115a_ph2b, 2,0,0
Lft115b_ph2b, 2,0,0
Lft124n_ph2b, 2,1.1,21.31
Lft127m_ph2b, 2,1.1,21.31
Lft190a_ph2b, 2,0,0
Lft190b_ph2b, 2,0,0
Lft3001_ph2b, 2,8.26,153.3
Lft199_ph2b, 2,0,0
Lft200_ph2b, 2,0,0
Lft1016_ph2b, 2,1.14,2.19
Lft1024_ph2b, 2,0.05,2.18
Lft1040_ph2b, 2,10.72,1.2
Lft1041_ph2b, 2,7.72,3.82
Lft128_ph2b, 2,0,0.05
Lft129_ph2b, 2,0,1
Lft131_ph2b, 2,0,1.01
Lft133a_ph2b, 2,0,0.66
Lft133b_ph2b, 2,0,0.88
Lft136_ph2b, 2,0,1.82
Lft1051_ph2b, 2,0.03,0
Lft102_ph2b, 2,0,2.72
Lft103_ph2b, 2,0,1.36
Lft1039_ph2b, 2,0,3.62
