,,DYAA,DYCP,MDO,NYAA
 EBSD,Source options,512.7324339,737.4320221,491.9040235,454.01587
 EBSD,Metering,32.73337249,32.73337249,32.73337249,32.73337249
 EBSD,Leakage,137.1532434,137.1532434,137.1532434,137.1532434
 EBSD,Water efficiency,10.4824988,10.4824988,10.47544313,10.47808901
 EBSD,Existing sources,5589.459973,6324.505851,5499.268485,5484.884966
 EBSD,Total sources,6282.561522,7242.306988,6171.534567,6119.265541
 EBSD,Existing transfers,582.1784388,702.6447513,590.2203272,456.5725343
 EBSD,New transfers,302.667063,405.0253571,247.9428402,256.8817277
 EBSD,Total transfers,884.8455019,1107.670108,838.1631675,713.454262
