,,,DYAA,DYCP,MDO,NYAA
ExDO01a,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01a,01/04/2029 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01a,01/04/2030 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01a,01/04/2031 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01a,01/04/2032 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01a,01/04/2033 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01a,01/04/2034 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01a,01/04/2035 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01a,01/04/2036 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01a,01/04/2037 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01a,01/04/2038 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01a,01/04/2039 00:00:00,4,1.00,1.00,1.00,1.00
ExDO01b,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01b,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01c,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01c,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01c,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01c,01/04/2014 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2015 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2016 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2017 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2018 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2019 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2020 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2021 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2022 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2023 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2024 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2025 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2026 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2027 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2028 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2029 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2030 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2031 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2032 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2033 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2034 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2035 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2036 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2037 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2038 00:00:00,4,107.00,86.00,107.00,0.00
ExDO01c,01/04/2039 00:00:00,4,107.00,86.00,107.00,0.00
ExDO02,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO02,01/04/2020 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2021 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2022 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2023 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2024 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2025 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2026 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2027 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2028 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2029 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2030 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2031 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2032 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2033 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2034 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2035 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2036 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2037 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2038 00:00:00,4,6.00,6.00,6.00,6.00
ExDO02,01/04/2039 00:00:00,4,6.00,6.00,6.00,6.00
ExDO03,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO03,01/04/2029 00:00:00,4,3.00,3.00,3.00,3.00
ExDO03,01/04/2030 00:00:00,4,3.00,3.00,3.00,3.00
ExDO03,01/04/2031 00:00:00,4,3.00,3.00,3.00,3.00
ExDO03,01/04/2032 00:00:00,4,3.00,3.00,3.00,3.00
ExDO03,01/04/2033 00:00:00,4,3.00,3.00,3.00,3.00
ExDO03,01/04/2034 00:00:00,4,3.00,3.00,3.00,3.00
ExDO03,01/04/2035 00:00:00,4,3.00,3.00,3.00,3.00
ExDO03,01/04/2036 00:00:00,4,3.00,3.00,3.00,3.00
ExDO03,01/04/2037 00:00:00,4,3.00,3.00,3.00,3.00
ExDO03,01/04/2038 00:00:00,4,3.00,3.00,3.00,3.00
ExDO03,01/04/2039 00:00:00,4,3.00,3.00,3.00,3.00
ExDO06a,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06a,01/04/2029 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06a,01/04/2030 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06a,01/04/2031 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06a,01/04/2032 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06a,01/04/2033 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06a,01/04/2034 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06a,01/04/2035 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06a,01/04/2036 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06a,01/04/2037 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06a,01/04/2038 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06a,01/04/2039 00:00:00,4,17.00,17.00,17.00,17.00
ExDO06b,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO06b,01/04/2029 00:00:00,4,5.00,5.00,5.00,5.00
ExDO06b,01/04/2030 00:00:00,4,5.00,5.00,5.00,5.00
ExDO06b,01/04/2031 00:00:00,4,5.00,5.00,5.00,5.00
ExDO06b,01/04/2032 00:00:00,4,5.00,5.00,5.00,5.00
ExDO06b,01/04/2033 00:00:00,4,5.00,5.00,5.00,5.00
ExDO06b,01/04/2034 00:00:00,4,5.00,5.00,5.00,5.00
ExDO06b,01/04/2035 00:00:00,4,5.00,5.00,5.00,5.00
ExDO06b,01/04/2036 00:00:00,4,5.00,5.00,5.00,5.00
ExDO06b,01/04/2037 00:00:00,4,5.00,5.00,5.00,5.00
ExDO06b,01/04/2038 00:00:00,4,5.00,5.00,5.00,5.00
ExDO06b,01/04/2039 00:00:00,4,5.00,5.00,5.00,5.00
ExDO07,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO07,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO12,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
